^FINANCIAL,01/18/2017,1714.38,1720.65,1713.85,1720.65,608257,35287
AUB,01/18/2017,47.9,48,47.25,48,22900,734265
BDO,01/18/2017,111.6,111.6,110.5,110.8,1663920,12745429
BPI,01/18/2017,89,90.05,88.65,89,2351480,30892392
CHIB,01/18/2017,38.5,38.5,38.45,38.45,27800,0
EW,01/18/2017,19.02,19.14,19,19.04,176200,83376
MBT,01/18/2017,75.05,76.5,75.05,76.5,1754340,-3940193
PBB,01/18/2017,14.18,14.18,14.16,14.16,7800,0
PNB,01/18/2017,53.4,54.05,53.4,53.65,31470,-1127467
PSB,01/18/2017,89.5,89.5,89.5,89.5,750,0
RCB,01/18/2017,36,36.1,35.9,36,105500,-248600
SECB,01/18/2017,211,214,210,214,246150,-5425910
UBP,01/18/2017,76.6,78.5,76.55,78.15,117840,1409213
AGF,01/18/2017,3.7,3.85,3.7,3.85,3000,0
BKR,01/18/2017,1.34,1.34,1.3,1.33,474000,0
BLFI,01/18/2017,4.08,4.08,4.07,4.07,14000,0
COL,01/18/2017,16.2,16.2,16.1,16.1,1600,-3260
I,01/18/2017,1.67,1.7,1.67,1.68,152000,0
MED,01/18/2017,0.65,0.68,0.64,0.65,7723000,65740
MFC,01/18/2017,830,830,825,825,200,0
NRCP,01/18/2017,0.81,0.81,0.78,0.79,2554000,0
PSE,01/18/2017,240,240,239,239.8,850,93368
SLF,01/18/2017,1730,1748,1730,1747,85,8740
V,01/18/2017,1.26,1.26,1.26,1.26,4000,0
^INDUSTRIAL,01/18/2017,11020.54,11053.06,10957.64,10963.13,836418,-72025
ACR,01/18/2017,1.42,1.42,1.36,1.36,770000,0
AP,01/18/2017,44,44,43.55,43.6,1314100,1860580
EDC,01/18/2017,5.31,5.32,5.27,5.3,8938900,25963189
FGEN,01/18/2017,22.4,22.7,22.15,22.6,594800,3037585
FPH,01/18/2017,68.9,69,68.8,68.85,105430,4186624
MER,01/18/2017,272.4,279.2,272.4,278.8,267780,49000369
MWC,01/18/2017,30,30,29.85,29.9,159600,-1636485
PCOR,01/18/2017,9.73,9.73,9.46,9.46,3267300,-20358854
PHEN,01/18/2017,2.27,2.27,2.25,2.25,504000,517500
PNX,01/18/2017,5.65,5.75,5.6,5.75,129800,-1725
SHLPH,01/18/2017,74.5,75.7,74.3,75.5,978350,11495563
SPC,01/18/2017,4.2,4.39,4.2,4.2,109000,0
ANI,01/18/2017,4.36,4.41,4.31,4.4,855000,70999
BMM,01/18/2017,92,92,90.05,90.05,120,0
CAT,01/18/2017,20.75,20.75,19.3,19.3,22900,0
CNPF,01/18/2017,15.88,15.9,15.84,15.86,4376000,8032518
DMPL,01/18/2017,12,12.02,11.98,12,10700,0
DNL,01/18/2017,12.3,12.64,12.3,12.38,4373200,-15062220
EMP,01/18/2017,7,7.1,7,7.05,720600,-5040713
FOOD,01/18/2017,0.86,0.89,0.86,0.88,87000,0
GSMI,01/18/2017,12.24,12.24,12.12,12.12,95800,-549924
JFC,01/18/2017,206,208,202.2,203,435560,-40169830
MAXS,01/18/2017,27,27,26.95,26.95,153800,-3711015
MG,01/18/2017,0.27,0.275,0.27,0.275,160000,0
PF,01/18/2017,245,245,238,238,2810,61732
PIP,01/18/2017,3.29,3.29,3.22,3.22,3032000,525160
PIZZA,01/18/2017,12.36,12.36,11.96,12,4678200,-19591310
RFM,01/18/2017,4.9,4.91,4.9,4.91,57000,0
ROX,01/18/2017,2.81,2.81,2.78,2.81,36000,0
SFI,01/18/2017,0.145,0.147,0.144,0.145,2020000,2940
URC,01/18/2017,169.1,169.2,166,166.6,714640,-46683601
VITA,01/18/2017,1.77,1.8,1.72,1.75,3360000,731370
VMC,01/18/2017,4.3,4.45,4.29,4.29,54000,0
ABG,01/18/2017,17.66,17.66,17.14,17.14,19900,-27424
CA,01/18/2017,96,96,96,96,100,0
CAB,01/18/2017,100,100,95.05,95.05,120,0
CHP,01/18/2017,11.54,11.7,11.52,11.6,4937200,-22750042
DAVIN,01/18/2017,6.45,6.6,6.45,6.6,73000,0
EEI,01/18/2017,6.89,7.23,6.89,7.22,2319200,1767344
HLCM,01/18/2017,16.48,16.48,16.1,16.1,151500,-2018960
MWIDE,01/18/2017,14.32,14.32,14.2,14.22,355700,-2127694
T,01/18/2017,1.55,1.59,1.52,1.56,178000,0
VUL,01/18/2017,1.09,1.14,1.06,1.14,210000,0
CROWN,01/18/2017,1.97,2.1,1.97,2.07,4048000,0
LMG,01/18/2017,2.61,2.7,2.61,2.7,160000,0
MVC,01/18/2017,3.71,3.71,3.68,3.68,94000,0
PPC,01/18/2017,5.01,5.01,5,5,56700,0
CIC,01/18/2017,60,60,60,60,1100,60000
IMI,01/18/2017,6.13,6.3,6.1,6.25,524900,391003
ION,01/18/2017,1.73,1.75,1.7,1.7,556000,0
PSPC,01/18/2017,1.59,1.6,1.58,1.59,106000,0
TECH,01/18/2017,22.35,23,22.35,23,189000,0
^HOLDING,01/18/2017,7306.7,7344.57,7295.66,7336.54,1401808,154849
ABA,01/18/2017,0.43,0.435,0.415,0.425,21690000,0
AC,01/18/2017,785,789,783,784.5,237240,-12440970
AEV,01/18/2017,74.3,74.85,74.3,74.7,865280,16742825
AGI,01/18/2017,12.66,12.94,12.62,12.74,6056300,-14100662
ANS,01/18/2017,5.9,6,5.9,6,12600,0
APO,01/18/2017,1.2,1.2,1.2,1.2,1000,0
