^FINANCIAL,06/22/2015,1742.86,1744.79,1734.57,1740.23,684933,-104098
AUB,06/22/2015,73.65,73.65,73.2,73.2,22820,961918
BDO,06/22/2015,109.6,110.9,109,110,2722440,7744989
BPI,06/22/2015,98.75,99,97.4,97.8,1617350,-107096387
CHIB,06/22/2015,45.55,45.65,45.55,45.65,9200,0
EW,06/22/2015,20.3,20.3,20,20,43700,-554505
MBT,06/22/2015,90.5,91,89.95,90.8,1537570,15809767
PBB,06/22/2015,18,18,18,18,5100,0
PNB,06/22/2015,69.2,69.2,68.55,68.65,5420,124872
PSB,06/22/2015,90.05,93.95,90.05,93.95,110,0
RCB,06/22/2015,42,42.5,41.6,41.65,36800,151510
SECB,06/22/2015,165,166,160,164.1,472870,-21186376
UBP,06/22/2015,60.2,61.1,60,60,49710,-165076
BKR,06/22/2015,1.85,1.85,1.85,1.85,3000,0
COL,06/22/2015,15.9,16,15.6,15.96,44200,0
FFI,06/22/2015,9.52,9.52,6.35,6.35,600,0
I,06/22/2015,1.74,1.74,1.74,1.74,10000,0
PSE,06/22/2015,301,307.4,301,307.4,6840,0
SLF,06/22/2015,1475,1500,1475,1500,150,110625
^INDUSTRIAL,06/22/2015,11624.42,11691.41,11583.43,11691.41,1662575,54301
ACR,06/22/2015,1.94,1.95,1.92,1.93,1262000,1152000
AP,06/22/2015,44.65,44.95,44.6,44.8,924900,6037490
EDC,06/22/2015,7.57,7.7,7.5,7.69,14685100,55003365
FGEN,06/22/2015,25.95,25.95,25.25,25.35,3266600,-52695245
FPH,06/22/2015,84.85,84.85,83.5,83.55,961580,474126
H2O,06/22/2015,4.12,4.12,4.12,4.12,20000,0
MER,06/22/2015,284,290.2,284,290,1039960,-17875542
MWC,06/22/2015,24.9,25.5,24.9,24.95,1104700,10351480
PCOR,06/22/2015,8.63,9,8.62,8.98,4368100,4150866
PNX,06/22/2015,3.97,3.97,3.89,3.9,139000,183430
TA,06/22/2015,2.18,2.18,2.17,2.17,579000,0
VVT,06/22/2015,22.55,22.65,22.55,22.65,2100,0
ANI,06/22/2015,1.4,1.44,1.4,1.44,11000,0
BMM,06/22/2015,65,68.5,55,57,9680,0
CNPF,06/22/2015,18.5,18.5,18.4,18.5,5985000,1287284
DMPL,06/22/2015,11.7,11.7,11.5,11.5,64200,0
DNL,06/22/2015,18.98,19.1,18.86,18.9,1698300,-4365394
EMP,06/22/2015,9.3,9.3,9.09,9.12,578700,-737681
FOOD,06/22/2015,1.03,1.05,1.03,1.04,160000,-23920
GSMI,06/22/2015,13.86,13.86,13.86,13.86,400,0
JFC,06/22/2015,197.5,197.5,195.9,196,975170,-36148872
MACAY,06/22/2015,50,61,50,59,34760,0
