^FINANCIAL,03/20/2017,1863.39,1863.39,1838.26,1845.94,1158134,-105474
AUB,03/20/2017,48.9,48.9,48.2,48.7,47200,1442035
BDO,03/20/2017,124.8,125.1,122,124,1974150,-62991063
BPI,03/20/2017,103,103,99.5,100,660720,17917802
CHIB,03/20/2017,40.25,40.35,40.25,40.35,252400,5088895
EW,03/20/2017,20.65,20.65,20.3,20.45,44200,-27730
MBT,03/20/2017,80,80.25,79.2,80,8193940,-20307144
PBB,03/20/2017,14.72,14.72,14.72,14.72,700,0
PNB,03/20/2017,56.6,57,56.45,56.5,79010,-632196
PTC,03/20/2017,115,115,115,115,40,0
RCB,03/20/2017,39.2,39.5,39.2,39.5,9200,359180
SECB,03/20/2017,201,203,200.8,201,614310,-46922956
UBP,03/20/2017,79.65,79.7,79.15,79.65,75760,1168238
AGF,03/20/2017,3.09,3.23,3.09,3.2,22000,0
BKR,03/20/2017,1.23,1.23,1.22,1.22,45000,0
BLFI,03/20/2017,3.94,4.06,3.94,4.06,11000,0
COL,03/20/2017,16,16.2,15.7,15.8,159100,-1028960
I,03/20/2017,1.65,1.65,1.63,1.63,5000,0
MED,03/20/2017,0.71,0.72,0.68,0.69,832000,0
NRCP,03/20/2017,0.73,0.73,0.72,0.72,336000,0
PSE,03/20/2017,241.8,241.8,238,241.8,440,0
SLF,03/20/2017,1740,1740,1730,1730,600,459200
^INDUSTRIAL,03/20/2017,11099.87,11113.5,10992.8,11018.85,1772955,-89046
ACR,03/20/2017,1.38,1.39,1.37,1.37,413000,0
AP,03/20/2017,43.4,43.4,42.75,43,1711300,-52698405
BSC,03/20/2017,0.265,0.27,0.265,0.265,4280000,-132500
EDC,03/20/2017,6.05,6.05,5.95,6,8462000,26825707
FGEN,03/20/2017,22.45,22.8,22.45,22.7,1085800,11948855
FPH,03/20/2017,72.7,73,72.2,73,44680,-342117
H2O,03/20/2017,3.89,3.9,3.7,3.7,11000,0
MER,03/20/2017,290,292,290,291,157060,-982488
MWC,03/20/2017,30.3,30.75,30,30.35,820300,13055260
PCOR,03/20/2017,9.1,9.16,9.06,9.13,6245500,-16739772
PHEN,03/20/2017,2.28,2.28,2.26,2.27,235000,367119
PNX,03/20/2017,7.49,7.59,7.43,7.5,3245600,-397480
SHLPH,03/20/2017,73.5,75.95,72.4,75.75,954820,33486538
SPC,03/20/2017,4.43,4.43,4.4,4.4,107000,0
VVT,03/20/2017,31.45,31.45,31.45,31.45,200,0
ANI,03/20/2017,5.4,5.43,5.19,5.4,1292900,449396
CAT,03/20/2017,14.62,15.12,14.6,14.6,15900,150390
CNPF,03/20/2017,17,17.2,16.84,16.9,4716400,6494314
DMPL,03/20/2017,12.1,12.48,12,12.12,34900,0
DNL,03/20/2017,12.86,12.88,12.76,12.84,1463200,10005186
EMP,03/20/2017,6.48,6.48,6.38,6.38,1068400,1233479
FOOD,03/20/2017,0.81,0.81,0.8,0.81,78000,0
JFC,03/20/2017,193.2,195,192.8,192.8,346930,-52262992
LFM,03/20/2017,71.8,72.55,66.5,72.55,1070,0
MAXS,03/20/2017,27,27,26.55,26.6,757300,-29650
MG,03/20/2017,0.265,0.265,0.255,0.255,1030000,0
PF,03/20/2017,270.6,279,270.6,277,79250,-791210
PIP,03/20/2017,3.71,3.78,3.7,3.73,1743000,551910
PIZZA,03/20/2017,14.28,14.48,14.1,14.26,1179700,7014284
RCI,03/20/2017,2.02,2.02,2,2,13000,0
RFM,03/20/2017,4.96,4.96,4.96,4.96,1013000,-94240
ROX,03/20/2017,2.8,2.8,2.8,2.8,12000,0
SFI,03/20/2017,0.145,0.147,0.145,0.145,380000,7249
URC,03/20/2017,165.7,165.7,160.2,161.5,1924620,-29125318
VITA,03/20/2017,1.57,1.58,1.55,1.56,849000,0
ABG,03/20/2017,20.5,20.8,20,20,2700,10350
CA,03/20/2017,94,94,91.2,91.2,40,0
CHP,03/20/2017,7.5,7.87,7.48,7.75,48748600,-24363992
DAVIN,03/20/2017,5.98,6,5.86,5.86,467900,0
EEI,03/20/2017,7.9,8,7.8,7.85,763500,-1974092
HLCM,03/20/2017,15.7,15.78,15.7,15.78,19100,-95770
MWIDE,03/20/2017,16.5,16.54,16.1,16.3,3624800,-15458600
T,03/20/2017,1.45,1.57,1.45,1.53,898000,0
VUL,03/20/2017,1.02,1.02,1.01,1.01,63000,0
CROWN,03/20/2017,2.17,2.23,2.1,2.1,2045000,23290
LMG,03/20/2017,5.4,5.58,4.86,5.03,4464600,-237363
MVC,03/20/2017,3.94,4.14,3.8,3.93,153000,79350
PPC,03/20/2017,4.9,5,4.9,5,2500,4900
CIC,03/20/2017,57.05,60.45,57.05,60.45,409320,-6000000
IMI,03/20/2017,6.75,7.11,6.75,7.1,5681000,977156
ION,03/20/2017,1.57,1.63,1.54,1.6,886000,-330
PMPC,03/20/2017,6.85,6.94,6.82,6.82,102300,0
PSPC,03/20/2017,1.97,2.03,1.94,1.97,927000,0
TECH,03/20/2017,23.3,23.5,23.1,23.5,174400,-4700
^HOLDING,03/20/2017,7367.35,7405.97,7321.15,7348.01,2049639,-100380
ABA,03/20/2017,0.385,0.39,0.375,0.385,1130000,0
AC,03/20/2017,838,840,815.5,830,122060,-15423290
AEV,03/20/2017,73.8,74.4,73.2,74.3,940150,14808143
AGI,03/20/2017,12.7,12.72,12.6,12.7,2271500,8992112
ANS,03/20/2017,6.31,6.31,6.31,6.31,1500,0
APO,03/20/2017,1.11,1.16,1.11,1.16,3000,0
ATN,03/20/2017,0.36,0.37,0.35,0.37,560000,0
COSCO,03/20/2017,8.89,8.89,8.65,8.67,1520200,7848759
DMC,03/20/2017,11.86,12.02,11.84,11.86,10560000,-44489728
FDC,03/20/2017,7.93,7.93,7.93,7.93,800,0
FPI,03/20/2017,0.189,0.189,0.179,0.181,120000,0
GTCAP,03/20/2017,1165,1179,1164,1170,94710,-18751130
HI,03/20/2017,6.21,6.5,6.21,6.25,19400,0
JGS,03/20/2017,81.05,83.1,80.5,80.95,1686550,51005464
KPH,03/20/2017,5.34,5.34,5.34,5.34,2800,0
LIHC,03/20/2017,1.15,1.19,1.13,1.13,5552000,868500
LPZ,03/20/2017,7.97,7.97,7.84,7.9,70400,458440
LTG,03/20/2017,15,15.28,15,15.08,5206700,-14185026
MHC,03/20/2017,0.415,0.415,0.415,0.415,300000,0
MJIC,03/20/2017,3.6,3.79,3.5,3.79,6000,0
MPI,03/20/2017,6.49,6.49,6.25,6.34,67272800,-74191640
PA,03/20/2017,0.058,0.058,0.055,0.055,187110000,69990
POPI,03/20/2017,1.97,1.98,1.97,1.98,323000,0
SGI,03/20/2017,1.47,1.47,1.46,1.47,165000,0
SM,03/20/2017,660,670,656,659,875990,-12795770
SMC,03/20/2017,104,104,101.8,103.4,202370,-4565472
SOC,03/20/2017,0.86,0.86,0.86,0.86,1000,0
SPM,03/20/2017,2.96,3,2.87,2.93,257000,0
TFHI,03/20/2017,272,272,269.6,272,8460,-27024
WIN,03/20/2017,0.186,0.186,0.186,0.186,40000,0
ZHI,03/20/2017,0.24,0.25,0.24,0.246,970000,-2450
^PROPERTY,03/20/2017,3293.6,3294.1,3250.52,3250.66,556685,-146915
ALCO,03/20/2017,1.41,1.43,1.37,1.37,11136000,-219540
ALI,03/20/2017,36.45,36.45,35.95,35.95,4283600,-38247280
ARA,03/20/2017,2.42,2.44,2.4,2.4,83000,0
BEL,03/20/2017,3.66,3.77,3.65,3.68,6175000,-11711310
BRN,03/20/2017,0.92,0.94,0.9,0.92,783000,0
CEI,03/20/2017,0.16,0.161,0.159,0.159,2430000,0
CHI,03/20/2017,5.01,5.01,5.01,5.01,100,0
CPG,03/20/2017,0.495,0.5,0.495,0.495,10168000,-482150
CYBR,03/20/2017,0.55,0.56,0.55,0.55,1008000,0
DD,03/20/2017,54.5,55,54.05,54.8,341800,-1012741
ELI,03/20/2017,0.7,0.7,0.7,0.7,44000,0
FLI,03/20/2017,1.68,1.71,1.68,1.7,1808000,573260
GERI,03/20/2017,0.97,0.98,0.97,0.97,77000,0
HOUSE,03/20/2017,6.98,6.98,6.69,6.69,92300,-82802
IRC,03/20/2017,1.18,1.21,1.18,1.21,203000,0
LAND,03/20/2017,1.08,1.08,1.03,1.08,64000,0
MEG,03/20/2017,3.6,3.63,3.58,3.59,13935000,-17779700
MRC,03/20/2017,0.189,0.193,0.186,0.193,66630000,902300
PHES,03/20/2017,0.295,0.295,0.295,0.295,10000,0
PRMX,03/20/2017,4.55,4.55,4.37,4.43,608000,0
RLC,03/20/2017,24,24.3,23.65,23.95,765800,1965580
RLT,03/20/2017,0.62,0.63,0.6,0.6,12534000,-372000
ROCK,03/20/2017,1.66,1.74,1.66,1.7,317000,0
SHNG,03/20/2017,3.33,3.41,3.32,3.37,232000,0
SLI,03/20/2017,1,1.01,0.98,1,4842000,10900
SMPH,03/20/2017,29.2,29.2,28.6,28.65,5469800,-70303765
SUN,03/20/2017,0.91,0.91,0.9,0.9,8000,0
VLL,03/20/2017,4.8,4.8,4.67,4.7,4276000,-10156330
^SERVICE,03/20/2017,1502.23,1504.94,1477.86,1488.72,1325983,-469361
ABS,03/20/2017,46.65,46.65,46,46,16800,0
GMA7,03/20/2017,6.15,6.18,6.1,6.12,172600,0
MBC,03/20/2017,17.98,17.98,17.98,17.98,200,0
GLO,03/20/2017,1910,1921,1890,1901,41790,-35096225
TEL,03/20/2017,1542,1542,1502,1530,52215,-35079530
APL,03/20/2017,0.051,0.051,0.047,0.048,200570000,-29400
DFNN,03/20/2017,8.84,8.84,8.6,8.8,50500,0
IMP,03/20/2017,3.72,3.74,3.7,3.74,69000,3710
IS,03/20/2017,0.19,0.19,0.185,0.186,2240000,0
ISM,03/20/2017,1.33,1.34,1.32,1.34,256000,0
JAS,03/20/2017,3.25,3.49,3.24,3.45,54000,0
NOW,03/20/2017,3,3.1,2.96,2.98,3038000,90709
WEB,03/20/2017,8.7,8.81,8.6,8.7,220200,276060
2GO,03/20/2017,8.38,8.38,8.01,8.3,27900,0
ATI,03/20/2017,12,12.1,12,12,3200,0
CEB,03/20/2017,93.6,94.3,92.7,93,463440,6750006
