^FINANCIAL,03/28/2017,1821.42,1835.46,1817.68,1835.46,779960,113634
AUB,03/28/2017,48.85,48.85,48.5,48.85,5900,247805
BDO,03/28/2017,121.8,122.5,120.9,121.5,1827820,34021175
BPI,03/28/2017,99.7,102,99.65,102,1485930,75211953
CHIB,03/28/2017,41.35,41.5,41.35,41.45,111700,641540
EW,03/28/2017,20.2,20.3,19.94,20.25,391500,-569157
MBT,03/28/2017,76,77.4,75.85,77.4,2786910,-6804419
PBB,03/28/2017,14.7,14.7,14.7,14.7,15000,0
PNB,03/28/2017,55.75,55.75,55.35,55.5,121590,-5821414
PSB,03/28/2017,89,89,89,89,100,0
PTC,03/28/2017,115,119.7,110.1,119.5,290,0
RCB,03/28/2017,38.75,39.3,38.75,39,46100,-165195
SECB,03/28/2017,202,202,200.8,201.2,261320,19937974
UBP,03/28/2017,79.65,79.7,79.65,79.65,69550,-273296
BKR,03/28/2017,1.15,1.24,1.15,1.24,77000,0
COL,03/28/2017,16.04,16.5,15.96,16.5,196800,-3118584
I,03/28/2017,1.62,1.62,1.62,1.62,12000,0
MED,03/28/2017,0.66,0.67,0.66,0.66,1152000,0
NRCP,03/28/2017,0.7,0.71,0.7,0.71,146000,0
PSE,03/28/2017,240,240,235,240,1980,240000
SLF,03/28/2017,1715,1715,1715,1715,235,85750
V,03/28/2017,1.21,1.21,1.21,1.21,3000,0
^INDUSTRIAL,03/28/2017,10841.54,10907.71,10841.54,10876.62,1027508,150324
ACR,03/28/2017,1.37,1.37,1.35,1.36,329000,0
AP,03/28/2017,41.5,42.1,41.5,42.1,1797700,19894875
BSC,03/28/2017,0.255,0.255,0.242,0.246,3270000,0
EDC,03/28/2017,6,6.05,5.99,6.05,11291500,54972263
FGEN,03/28/2017,22.25,22.3,21.85,21.95,1772900,10725505
FPH,03/28/2017,71.5,71.5,71.15,71.3,109710,1710179
MER,03/28/2017,276.4,277,275.2,275.2,235830,14355532
MWC,03/28/2017,31,31.1,30.6,30.95,2427300,54070360
PCOR,03/28/2017,9,9.08,8.98,9,2157600,8218414
PHEN,03/28/2017,2.23,2.24,2.22,2.23,1545000,2093360
PNX,03/28/2017,8,8.04,7.91,8,2679200,-1092551
SHLPH,03/28/2017,74.1,74.5,73.9,74.4,655730,-25734
SPC,03/28/2017,4.36,4.45,4.35,4.45,194000,776300
ANI,03/28/2017,5.16,5.28,5.16,5.27,1151200,-61782
BMM,03/28/2017,96.5,102.9,96.5,102.9,170,0
CAT,03/28/2017,14.98,16,14.56,14.9,69300,-2902
CNPF,03/28/2017,16.96,17,16.9,16.96,105800,603616
DMPL,03/28/2017,12.18,12.3,12.1,12.1,32700,0
DNL,03/28/2017,12.74,12.86,12.7,12.86,2695000,-8557692
EMP,03/28/2017,6.1,6.22,6.05,6.12,2744800,-5825964
FOOD,03/28/2017,0.8,0.81,0.8,0.8,677000,120000
GSMI,03/28/2017,12.2,12.34,12.2,12.34,30600,0
JFC,03/28/2017,184,185.5,182.5,182.5,656230,-57559546
LFM,03/28/2017,73.05,73.05,73.05,73.05,100,0
MAXS,03/28/2017,26,26.95,26,26.95,96300,338080
MG,03/28/2017,0.248,0.26,0.248,0.255,7940000,-24800
PF,03/28/2017,280,282,280,281.4,18160,4937500
PIP,03/28/2017,3.75,3.76,3.71,3.73,4210000,553290
PIZZA,03/28/2017,13.46,13.9,13.46,13.7,619600,-322112
RFM,03/28/2017,4.93,4.93,4.9,4.9,219000,-995020
ROX,03/28/2017,2.88,2.88,2.76,2.76,41000,0
SFI,03/28/2017,0.143,0.143,0.143,0.143,20000,0
URC,03/28/2017,162.9,165,162.7,164,438710,49238376
VITA,03/28/2017,1.5,1.54,1.49,1.51,784000,-7550
VMC,03/28/2017,4.29,4.29,4.28,4.28,3000,0
ABG,03/28/2017,19.64,19.66,18.8,19.2,1500,0
CA,03/28/2017,92.95,92.95,92.95,92.95,90,0
CHP,03/28/2017,7.46,7.5,7.37,7.42,4793400,-10813341
DAVIN,03/28/2017,5.88,5.88,5.81,5.88,58700,0
EEI,03/28/2017,7.73,7.9,7.73,7.9,432200,1425589
HLCM,03/28/2017,15.36,15.36,15.1,15.12,42400,-294290
MWIDE,03/28/2017,15.72,16.3,15.72,16.26,465500,3722978
PHN,03/28/2017,11.48,11.48,11.3,11.3,120200,0
T,03/28/2017,1.41,1.45,1.4,1.42,231000,0
VUL,03/28/2017,1.05,1.08,1.04,1.04,59000,0
CIP,03/28/2017,167,194,167,193,40,0
CROWN,03/28/2017,2.04,2.08,1.98,2,837000,264460
EURO,03/28/2017,1.7,1.7,1.7,1.7,23000,0
LMG,03/28/2017,5.2,5.31,5.01,5.2,2231700,-2192956
PPC,03/28/2017,4.88,4.88,4.88,4.88,25000,112240
