^FINANCIAL,01/17/2017,1739.69,1739.69,1713.52,1713.52,795571,140176
AUB,01/17/2017,48,48,47.9,47.95,3800,143800
BDO,01/17/2017,111.5,112.1,111.4,111.5,1754060,103095643
BPI,01/17/2017,91.5,91.5,89,89,2505150,100507208
CHIB,01/17/2017,38.5,38.5,38.4,38.5,31200,0
EW,01/17/2017,19.14,19.2,19.02,19.02,85800,-127758
MBT,01/17/2017,78.45,78.45,75,75,3235340,-33147452
PBB,01/17/2017,14.2,14.22,14.2,14.2,78700,0
PBC,01/17/2017,22.5,22.5,22.1,22.1,15000,0
PNB,01/17/2017,54.55,54.6,53.4,53.4,127930,-6784291
PSB,01/17/2017,90,90,90,90,480,0
PTC,01/17/2017,151,151,151,151,100,0
RCB,01/17/2017,35.95,35.95,35.8,35.8,2800,25105
SECB,01/17/2017,211,211.4,210.4,210.6,475850,-23729630
UBP,01/17/2017,76.5,76.65,76.4,76.55,69730,4591
AGF,01/17/2017,3.8,3.8,3.7,3.7,36000,0
BKR,01/17/2017,1.4,1.4,1.33,1.34,902000,16200
BLFI,01/17/2017,4.1,4.1,4.1,4.1,1000,0
COL,01/17/2017,16.2,16.2,16.2,16.2,400,-1620
FFI,01/17/2017,6.59,6.74,6.58,6.74,3500,3370
I,01/17/2017,1.66,1.66,1.66,1.66,2000,0
MED,01/17/2017,0.68,0.69,0.64,0.65,6478000,0
MFC,01/17/2017,855,855,843,843,100,0
NRCP,01/17/2017,0.78,0.85,0.78,0.8,8434000,157530
PSE,01/17/2017,230,239,230,238,3680,13800
SLF,01/17/2017,1729,1730,1725,1725,640,0
V,01/17/2017,1.26,1.26,1.26,1.26,6000,0
^INDUSTRIAL,01/17/2017,11170.85,11174.52,11004.25,11004.25,1034192,-15108
ACR,01/17/2017,1.44,1.44,1.39,1.42,3121000,0
AP,01/17/2017,43.75,44,43.7,43.75,1104400,3557680
BSC,01/17/2017,0.21,0.212,0.205,0.209,680000,0
EDC,01/17/2017,5.3,5.31,5.26,5.27,22895300,9482013
FGEN,01/17/2017,22.8,22.8,22.1,22.6,1390300,14022820
FPH,01/17/2017,68.95,69,68.9,69,217400,5304310
MER,01/17/2017,277,277.8,269.6,272,582140,87970102
MWC,01/17/2017,29.9,30.1,29.55,30,854200,-14532330
PCOR,01/17/2017,9.74,9.74,9.65,9.65,2156400,25363
PHEN,01/17/2017,2.29,2.3,2.25,2.27,1073000,793950
PNX,01/17/2017,5.65,5.65,5.62,5.65,361100,-339000
SHLPH,01/17/2017,75.3,75.5,74.3,74.5,1088480,22498138
SPC,01/17/2017,4.26,4.26,4.22,4.22,52000,0
VVT,01/17/2017,32.1,32.1,32,32,1200,3204
ANI,01/17/2017,4.47,4.47,4.37,4.44,462000,440000
BMM,01/17/2017,95,95,90,92,1040,0
CAT,01/17/2017,20.9,20.9,20.1,20.1,16100,12480
CNPF,01/17/2017,15.94,16.1,15.86,15.88,1623500,-4511906
DMPL,01/17/2017,11.98,12,11.98,12,36400,0
DNL,01/17/2017,12.4,12.4,12.12,12.3,4066100,-8781256
EMP,01/17/2017,7.15,7.15,7,7,264700,-1126293
FOOD,01/17/2017,0.88,0.9,0.86,0.88,494000,0
GSMI,01/17/2017,12.24,12.24,12.24,12.24,500,0
JFC,01/17/2017,212,212.2,205.8,205.8,494420,-55302142
LFM,01/17/2017,73.5,73.5,73.5,73.5,100,0
MACAY,01/17/2017,25.05,28.55,25.05,28.55,600,0
MAXS,01/17/2017,27.3,27.3,26.8,27,123000,-2040920
