^FINANCIAL,02/20/2017,1794.23,1803.31,1794.23,1798.25,650250,44063
AUB,02/20/2017,48.4,48.4,46.7,48.4,20200,876025
BDO,02/20/2017,116.3,117.1,116.2,116.4,1808490,26836794
BPI,02/20/2017,95,95.2,94.5,95.15,1552160,23132144
CHIB,02/20/2017,39.55,40.5,39.55,40.3,64400,0
EW,02/20/2017,19.98,20.1,19.9,19.96,857900,532895
MBT,02/20/2017,79.1,80,79,79.55,480260,1050973
PBB,02/20/2017,14.3,14.3,14.16,14.26,68200,0
PBC,02/20/2017,25.5,25.5,25,25,16300,0
PNB,02/20/2017,60.1,60.1,59.5,60,63690,293035
PSB,02/20/2017,91,91,91,91,170,0
RCB,02/20/2017,41,41.05,40.15,40.6,207300,-2993110
SECB,02/20/2017,211.6,211.8,210.4,210.6,256810,-5687624
UBP,02/20/2017,79.1,79.1,78.5,79.1,89810,791
AGF,02/20/2017,3.16,3.25,3.16,3.24,8000,0
BKR,02/20/2017,1.27,1.43,1.27,1.36,553000,0
COL,02/20/2017,16.2,16.2,16.18,16.18,1000,-1620
FAF,02/20/2017,0.67,0.67,0.66,0.66,15000,0
MED,02/20/2017,0.69,0.72,0.69,0.71,5265000,0
MFC,02/20/2017,855,855,835,835,520,0
NRCP,02/20/2017,0.75,0.75,0.74,0.74,527000,0
PSE,02/20/2017,240,240,240,240,450,-21600
SLF,02/20/2017,1795,1795,1775,1775,430,44750
^INDUSTRIAL,02/20/2017,11102.19,11156.83,11102.19,11130.84,1070525,150031
ACR,02/20/2017,1.41,1.43,1.4,1.4,368000,0
AP,02/20/2017,43.5,43.5,42.9,43,1360200,2130665
BSC,02/20/2017,0.28,0.285,0.26,0.265,22090000,0
EDC,02/20/2017,5.83,5.84,5.81,5.84,893900,1706019
FGEN,02/20/2017,22.3,22.3,21.95,21.95,976000,4863810
FPH,02/20/2017,75,75,73.5,73.7,61540,-2659867
H2O,02/20/2017,3.9,3.9,3.85,3.85,5000,3900
MER,02/20/2017,287.6,288.8,286.6,286.6,282110,-13903498
MWC,02/20/2017,30.05,30.75,30.05,30.5,975700,3816245
PCOR,02/20/2017,9.2,9.2,9.15,9.2,631400,-2761198
PHEN,02/20/2017,2.39,2.4,2.37,2.37,226000,26290
PNX,02/20/2017,7.1,7.1,6.94,7.1,1980400,-374100
SHLPH,02/20/2017,78.6,80,78.6,80,1781150,5238826
SPC,02/20/2017,4.22,4.22,4.22,4.22,140000,590800
ANI,02/20/2017,5.23,5.23,5.08,5.2,306500,530527
CAT,02/20/2017,14.8,15.12,14.8,15.12,10600,111550
CNPF,02/20/2017,16.6,16.6,16.42,16.56,599900,-8156672
DMPL,02/20/2017,11.94,11.94,11.8,11.8,13600,0
DNL,02/20/2017,13.06,13.64,13.06,13.48,11990700,98119968
EMP,02/20/2017,7.12,7.12,7.08,7.1,258300,-762663
FOOD,02/20/2017,0.86,0.88,0.86,0.88,190000,0
GSMI,02/20/2017,12.3,12.3,12.3,12.3,100,0
JFC,02/20/2017,205,206,204,205,115630,-4550564
LFM,02/20/2017,68,68,68,68,40,0
