^FINANCIAL,04/18/2017,1878.68,1881.8,1866.31,1873.42,1083608,-208680
AUB,04/18/2017,48.5,48.6,48.2,48.6,17100,766760
BDO,04/18/2017,119.8,120.3,119,119,2296500,-94330286
BPI,04/18/2017,105.2,106.1,104.6,106.1,327090,4377578
CHIB,04/18/2017,37,37.05,36.5,36.8,1074400,-1016420
CSB,04/18/2017,9.99,9.99,9.99,9.99,200,0
EW,04/18/2017,21,21.1,20.8,20.85,128400,-825295
MBT,04/18/2017,82.95,84,81.5,81.5,3679890,-133937501
PBB,04/18/2017,14.62,14.62,14.62,14.62,12000,0
PBC,04/18/2017,25.8,26,25.8,26,3300,0
PNB,04/18/2017,57.5,57.5,57.25,57.5,124770,3390291
RCB,04/18/2017,42.3,47,42.3,47,2272700,16201235
SECB,04/18/2017,219,219,213.4,216,766170,-2535110
UBP,04/18/2017,79.75,79.75,79.45,79.7,2030,-27891
AGF,04/18/2017,3.12,3.12,3.12,3.12,13000,0
BKR,04/18/2017,1.16,1.22,1.15,1.22,43000,-48350
BLFI,04/18/2017,4,4.21,4,4.2,102000,0
COL,04/18/2017,16.2,16.2,16.2,16.2,57200,-925020
FFI,04/18/2017,7.76,7.76,7.75,7.75,45800,0
I,04/18/2017,1.65,1.7,1.65,1.7,8000,0
MED,04/18/2017,0.67,0.69,0.67,0.67,2228000,82960
MFC,04/18/2017,775,775,770,770,110,0
NRCP,04/18/2017,0.73,0.76,0.73,0.75,676000,338490
PSE,04/18/2017,243,243,239,240,30690,0
SLF,04/18/2017,1670,1675,1670,1670,365,-192050
^INDUSTRIAL,04/18/2017,11297.86,11341.52,11279.8,11298,971426,86480
ACR,04/18/2017,1.42,1.42,1.41,1.41,501000,0
AP,04/18/2017,42,42.2,41.4,41.65,1252400,6123645
BSC,04/18/2017,0.255,0.255,0.247,0.248,4340000,0
EDC,04/18/2017,6.09,6.12,6.07,6.11,6008800,1475056
FGEN,04/18/2017,21.15,21.75,21.15,21.6,1612500,767140
FPH,04/18/2017,73,73,72.55,72.95,42170,709440
MER,04/18/2017,283,284,283,283,46750,2492442
MWC,04/18/2017,32.5,32.8,32.5,32.55,2079400,18226840
PCOR,04/18/2017,9.06,9.25,9.05,9.06,1489500,-2711513
PHEN,04/18/2017,2.18,2.18,2.15,2.15,3173000,3497600
PNX,04/18/2017,8.32,8.5,8.27,8.38,4829500,685473
SHLPH,04/18/2017,72.1,72.1,70.9,71.45,1142110,42353882
SPC,04/18/2017,4.75,4.95,4.71,4.8,237000,0
ANI,04/18/2017,5.43,5.48,5.3,5.35,1116800,32040
BMM,04/18/2017,96.55,96.55,96.55,96.55,10,0
CAT,04/18/2017,14.96,14.96,14.88,14.88,1200,0
CNPF,04/18/2017,17.08,17.1,16.98,17.1,162400,1634351
DMPL,04/18/2017,12.04,12.28,11.84,12,82700,0
DNL,04/18/2017,12.9,13.16,12.9,13.1,6795800,-46743442
