^FINANCIAL,03/07/2017,1819.65,1852.9,1816.36,1841.84,1929547,-206029
AUB,03/07/2017,48.4,48.6,48.4,48.6,11300,518345
BDO,03/07/2017,119,124,118.5,121.6,4052920,152999372
BPI,03/07/2017,98.1,99.75,98,99.5,3142940,143468618
CHIB,03/07/2017,40,40.15,40,40,700500,-14122270
EW,03/07/2017,20.55,20.95,20.4,20.7,2676200,-19010230
MBT,03/07/2017,81.2,81.2,80.55,81,4252400,-209458629
PBB,03/07/2017,14.56,14.56,14.56,14.56,700,0
PNB,03/07/2017,58,58,57.3,57.35,151460,-368761
PSB,03/07/2017,90,90,90,90,3560,0
PTC,03/07/2017,112,113,112,112,1030,0
RCB,03/07/2017,39.65,39.65,38.9,39.1,495900,-9508160
SECB,03/07/2017,202.2,210,202.2,206.8,2865270,-255242344
UBP,03/07/2017,80,80,79.75,79.85,78240,4624931
AGF,03/07/2017,3.21,3.58,3.21,3.48,336000,0
BKR,03/07/2017,1.26,1.27,1.26,1.27,54000,0
BLFI,03/07/2017,4.3,4.3,4.22,4.23,40000,-67680
COL,03/07/2017,16.18,16.18,16.18,16.18,300,0
I,03/07/2017,1.7,1.7,1.69,1.69,61000,0
MED,03/07/2017,0.67,0.67,0.65,0.66,1317000,-4620
MFC,03/07/2017,840,840,840,840,100,42000
NRCP,03/07/2017,0.73,0.74,0.73,0.73,708000,10220
PSE,03/07/2017,240,242,238,240,1930,0
SLF,03/07/2017,1790,1790,1775,1775,325,89500
^INDUSTRIAL,03/07/2017,11083.39,11087.84,11053.87,11071.61,1735180,80316
ACR,03/07/2017,1.45,1.47,1.42,1.43,326000,0
AP,03/07/2017,43.85,43.9,43.1,43.45,2256700,30451570
BSC,03/07/2017,0.27,0.28,0.265,0.28,9680000,0
EDC,03/07/2017,5.89,6.02,5.87,6,15492500,26064398
FGEN,03/07/2017,21.4,22,21.4,21.65,2195200,-6258315
FPH,03/07/2017,73.5,73.5,72.9,73.5,74690,362865
MER,03/07/2017,293.6,294,292.2,293.8,115930,430970
MWC,03/07/2017,30.9,31.4,30.9,31.25,1751400,-28376390
PCOR,03/07/2017,9,9.06,8.99,9,1522300,2198176
PHEN,03/07/2017,2.39,2.39,2.34,2.34,323000,0
PNX,03/07/2017,7.22,7.22,7,7,5981800,-2261881
SHLPH,03/07/2017,77.8,78,76.8,78,1703560,12626342
SPC,03/07/2017,4.32,4.32,4.32,4.32,53000,0
ANI,03/07/2017,5.47,5.58,5.28,5.52,1818000,-175440
BMM,03/07/2017,97,97,97,97,300,0
CAT,03/07/2017,14.72,15.1,14.7,15.1,13700,180544
CNPF,03/07/2017,16.66,16.66,16.54,16.54,3166700,2656386
DMPL,03/07/2017,12,12.2,12,12.2,47500,397652
DNL,03/07/2017,12.82,12.84,12.64,12.64,9198800,29633190
EMP,03/07/2017,6.86,6.9,6.83,6.85,638200,-3132059
FOOD,03/07/2017,0.84,0.84,0.82,0.83,887000,0
GSMI,03/07/2017,12.2,12.2,12.2,12.2,1300,0
JFC,03/07/2017,198,198.5,194.8,194.9,2031830,-37217401
LFM,03/07/2017,77,77,77,77,10,0
MAXS,03/07/2017,26.95,27,26.6,26.7,187000,0
MG,03/07/2017,0.265,0.275,0.265,0.265,10360000,0
PF,03/07/2017,266.4,266.4,266.4,266.4,20,0
PIP,03/07/2017,3.57,3.61,3.55,3.61,786000,1127630
PIZZA,03/07/2017,12.9,12.9,12.68,12.74,925700,2079604
RFM,03/07/2017,5.01,5.02,5.01,5.01,58100,252504
ROX,03/07/2017,2.81,2.9,2.8,2.9,362000,127110
URC,03/07/2017,163,163.6,163,163.4,1422680,36941580
VITA,03/07/2017,1.68,1.69,1.67,1.68,1811000,-1972110
VMC,03/07/2017,4.45,4.45,4.45,4.45,16000,0
ABG,03/07/2017,20.45,20.5,19,20.15,80900,0
CA,03/07/2017,91.7,91.7,91.65,91.65,220,0
CAB,03/07/2017,99.95,99.95,99.95,99.95,480,0
CHP,03/07/2017,8.5,8.57,8.12,8.19,14309300,15938040
DAVIN,03/07/2017,6.16,6.18,6.15,6.18,6000,0
EEI,03/07/2017,7.74,7.75,7.6,7.65,552200,-889925
HLCM,03/07/2017,16.76,16.76,16.4,16.4,38300,-212448
MWIDE,03/07/2017,14.9,14.9,14.66,14.74,4676200,-777734
T,03/07/2017,1.49,1.49,1.46,1.46,188000,-4440
VUL,03/07/2017,1.06,1.06,1.04,1.05,483000,0
CIP,03/07/2017,165,165,165,165,120,0
CROWN,03/07/2017,2.16,2.16,2.1,2.1,85000,-2160
EURO,03/07/2017,1.76,1.76,1.76,1.76,2000,0
LMG,03/07/2017,7.97,7.97,7.7,7.86,664500,-761750
MVC,03/07/2017,4,5.5,4,4.4,3562000,-300
PPC,03/07/2017,4.95,5.04,4.9,4.95,316000,1006440
CIC,03/07/2017,58.05,61.45,58.05,60.5,32190,-11902
IMI,03/07/2017,6.62,6.82,6.6,6.69,698800,-14340
ION,03/07/2017,1.66,1.7,1.64,1.7,786000,122670
PMPC,03/07/2017,6.75,6.75,6.5,6.5,19900,0
PSPC,03/07/2017,1.9,2.13,1.9,2.07,8400000,-200450
TECH,03/07/2017,23.4,23.5,23,23.5,186800,-11750
^HOLDING,03/07/2017,7415.42,7415.93,7327.94,7358.89,1760363,28631
ABA,03/07/2017,0.38,0.385,0.37,0.375,4820000,3700
AC,03/07/2017,823,825.5,817,819.5,553490,238699105
AEV,03/07/2017,73.5,73.9,73,73.9,1383390,15688499
AGI,03/07/2017,12.66,12.7,12.58,12.58,4387800,-2045454
ANS,03/07/2017,6.36,6.36,6.36,6.36,300,0
APO,03/07/2017,1.12,1.19,1.12,1.19,2000,0
ATN,03/07/2017,0.39,0.39,0.375,0.38,1110000,0
ATNB,03/07/2017,0.375,0.375,0.375,0.375,100000,-37500
COSCO,03/07/2017,8.87,8.87,8.8,8.8,1268900,6527285
DMC,03/07/2017,12.8,13,12.66,12.68,6997000,-23827132
FDC,03/07/2017,8,8.1,8,8.09,759000,0
FJP,03/07/2017,5.41,5.41,5.41,5.41,1700,0
FPI,03/07/2017,0.184,0.184,0.183,0.183,570000,82350
GTCAP,03/07/2017,1235,1242,1204,1208,144670,-41242755
HI,03/07/2017,6.04,6.18,6.04,6.18,27100,0
JGS,03/07/2017,78.5,78.75,76.5,78.3,1262070,20900738
KPH,03/07/2017,4.96,5.26,4.96,5.26,11000,0
LIHC,03/07/2017,1.15,1.17,1.11,1.13,15423000,112000
LPZ,03/07/2017,7.81,7.9,7.81,7.89,1620400,12746295
LTG,03/07/2017,14.96,14.96,13.9,14.5,17024400,-58232756
MHC,03/07/2017,0.42,0.42,0.415,0.415,270000,0
MPI,03/07/2017,6.83,6.87,6.77,6.78,17019000,-57827146
PA,03/07/2017,0.062,0.064,0.059,0.061,169970000,-63000
POPI,03/07/2017,1.98,1.98,1.98,1.98,83000,0
PRIM,03/07/2017,1.1,1.1,1.1,1.1,10000,0
SGI,03/07/2017,1.54,1.54,1.51,1.54,395000,-53110
SM,03/07/2017,670,670,658.5,660,450740,-86927520
SMC,03/07/2017,106.6,106.6,105.6,106.6,95890,4628253
SPM,03/07/2017,4.7,4.92,4.02,4.21,1464000,-9390
TFHI,03/07/2017,269,270,268,270,7750,-566300
UNI,03/07/2017,0.295,0.295,0.295,0.295,170000,0
ZHI,03/07/2017,0.255,0.255,0.245,0.245,2060000,75000
^PROPERTY,03/07/2017,3291.29,3302.25,3257.95,3263.33,1650783,32916
ALCO,03/07/2017,1.55,1.6,1.51,1.51,35459000,-3366120
ALHI,03/07/2017,6.1,6.1,6.1,6.1,3100,0
ALI,03/07/2017,36,36.35,35.6,35.9,27342100,154678380
ARA,03/07/2017,2.45,2.51,2.44,2.45,158000,0
BEL,03/07/2017,3.72,3.92,3.68,3.85,24337000,-20885280
BRN,03/07/2017,1,1.01,1,1.01,1452000,0
CDC,03/07/2017,1.27,1.32,1.27,1.3,66000,0
CEI,03/07/2017,0.163,0.163,0.159,0.161,16030000,0
CHI,03/07/2017,5.05,5.05,5.01,5.01,149900,-613626
CPG,03/07/2017,0.5,0.51,0.5,0.51,4805000,34900
CYBR,03/07/2017,0.55,0.55,0.54,0.55,1375000,0
DD,03/07/2017,54.05,54.5,53.65,53.85,202150,-1274476
ELI,03/07/2017,0.71,0.71,0.71,0.71,2000,0
EVER,03/07/2017,0.164,0.167,0.16,0.164,900000,0
FLI,03/07/2017,1.67,1.67,1.64,1.65,10384000,2281630
GERI,03/07/2017,0.99,1,0.99,0.99,2813000,0
HOUSE,03/07/2017,6.62,6.64,6.6,6.61,368500,-663395
IRC,03/07/2017,1.21,1.29,1.19,1.19,385000,0
MEG,03/07/2017,3.76,3.77,3.73,3.74,9618000,7998910
MRC,03/07/2017,0.174,0.177,0.166,0.168,29350000,-34599
PHES,03/07/2017,0.31,0.315,0.3,0.305,1300000,46350
PRMX,03/07/2017,4.76,4.76,4.7,4.75,517000,0
RLC,03/07/2017,24.1,24.3,23.6,23.6,3861600,28527075
RLT,03/07/2017,0.62,0.62,0.58,0.59,9761000,46020
ROCK,03/07/2017,1.72,1.75,1.71,1.74,342000,0
SHNG,03/07/2017,3.33,3.33,3.33,3.33,3000,0
SLI,03/07/2017,1.06,1.06,1.04,1.05,11312000,0
SMPH,03/07/2017,29.3,29.4,28.8,28.8,10462600,-131253635
STR,03/07/2017,6.79,6.79,6.79,6.79,1000,0
SUN,03/07/2017,0.9,0.93,0.9,0.93,134000,0
VLL,03/07/2017,4.89,4.89,4.8,4.89,1911000,-2605320
^SERVICE,03/07/2017,1433.96,1441.59,1422.35,1433.79,1135634,214343
ABS,03/07/2017,47.1,47.1,46.1,46.3,4800,0
GMA7,03/07/2017,6.11,6.15,6.11,6.14,25600,0
GLO,03/07/2017,1842,1899,1837,1899,80355,59924280
TEL,03/07/2017,1470,1482,1430,1454,174510,127733060
APL,03/07/2017,0.061,0.061,0.056,0.057,635180000,-360700
DFNN,03/07/2017,8.99,8.99,8.84,8.84,31200,0
IMP,03/07/2017,3.93,4.2,3.93,3.93,189000,0
IS,03/07/2017,0.193,0.193,0.191,0.192,4450000,0
ISM,03/07/2017,1.37,1.38,1.36,1.36,255000,0
JAS,03/07/2017,3.14,3.4,3,3.09,2244000,0
NOW,03/07/2017,2.74,2.77,2.73,2.75,320000,0
WEB,03/07/2017,9.15,9.15,8.98,8.98,307700,-629352
2GO,03/07/2017,7.85,8,7.85,7.9,58300,0
ATI,03/07/2017,11.3,11.3,11.3,11.3,1100,0
CEB,03/07/2017,91.5,92,91.35,91.4,760070,12360131
ICT,03/07/2017,76.25,76.7,75.5,76.5,1798580,80510601
LBC,03/07/2017,14.38,14.5,14.38,14.5,2000,0
MAC,03/07/2017,3.64,3.81,3.56,3.75,5590000,-5174140
PAL,03/07/2017,5.31,5.4,5.3,5.3,39400,0
TUGS,03/07/2017,3.6,3.65,3.55,3.59,2279000,2682770
ACE,03/07/2017,1.46,1.5,1.46,1.48,17000,0
BHI,03/07/2017,0.063,0.064,0.063,0.064,34940000,0
DWC,03/07/2017,2.4,2.45,2.3,2.3,11000,0
WPI,03/07/2017,0.375,0.39,0.37,0.39,1070000,0
CEU,03/07/2017,10.1,10.1,10.1,10.1,200,0
FEU,03/07/2017,1000,1000,1000,1000,1870,-1580000
STI,03/07/2017,1.17,1.19,1.16,1.18,23417000,11186260
BLOOM,03/07/2017,7.6,7.78,7.51,7.61,13534700,-11830331
EG,03/07/2017,0.0092,0.0093,0.0092,0.0093,4000000,0
LOTO,03/07/2017,11.2,11.26,11.2,11.26,3308300,0
LR,03/07/2017,3.9,3.9,3.88,3.88,776000,-2321820
MCP,03/07/2017,5.4,5.6,5.37,5.59,10374200,6423074
MJC,03/07/2017,2.25,2.48,2.25,2.39,1354000,-290400
PLC,03/07/2017,1.42,1.42,1.4,1.42,6369000,24140
RWM,03/07/2017,3.2,3.23,3.2,3.23,488000,3200
CAL,03/07/2017,2.5,2.5,2.4,2.42,3382000,-688140
MRSGI,03/07/2017,3.79,3.79,3.73,3.78,361000,-557820
PGOLD,03/07/2017,45.1,45.3,44.2,44.5,2295700,-60778985
RRHI,03/07/2017,81.05,81.05,79.05,80.8,404860,2336432
SEVN,03/07/2017,142,145.2,142,145.2,1800,120298
SSI,03/07/2017,2.44,2.44,2.39,2.39,5476000,-4377400
APC,03/07/2017,0.54,0.54,0.54,0.54,5000,0
HVN,03/07/2017,16.2,16.48,16.2,16.48,37400,0
IPM,03/07/2017,9.05,9.05,9.03,9.05,415200,0
PAX,03/07/2017,3.41,3.95,3.41,3.6,266000,-55870
PHA,03/07/2017,0.41,0.42,0.405,0.415,2510000,-316000
SBS,03/07/2017,6.16,6.23,6.16,6.21,53100,0
^MINING-OIL,03/07/2017,12442.88,12446.31,12367.98,12367.98,129952,35217
APX,03/07/2017,1.93,1.94,1.87,1.9,1222000,0
AR,03/07/2017,0.0032,0.0032,0.0032,0.0032,272000000,0
AT,03/07/2017,5.75,5.8,5.71,5.78,105900,259432
BC,03/07/2017,1.84,1.85,1.75,1.85,162000,0
BCB,03/07/2017,1.9,1.9,1.85,1.85,13000,-15020
COAL,03/07/2017,0.445,0.445,0.44,0.44,100000,0
CPM,03/07/2017,0.46,0.46,0.46,0.46,110000,0
DIZ,03/07/2017,10.56,10.56,9.68,10.1,127300,0
FNI,03/07/2017,2.65,2.72,2.65,2.71,3890000,-165410
GEO,03/07/2017,0.25,0.255,0.25,0.25,30000,0
LC,03/07/2017,0.187,0.189,0.185,0.189,3520000,0
LCB,03/07/2017,0.193,0.193,0.193,0.193,200000,0
MA,03/07/2017,0.011,0.011,0.011,0.011,37100000,0
MARC,03/07/2017,1.89,1.97,1.89,1.97,462000,189000
NI,03/07/2017,2.34,2.34,2.2,2.3,209000,0
NIKL,03/07/2017,6.72,6.72,6.61,6.62,1981200,-6610634
ORE,03/07/2017,0.89,0.93,0.88,0.9,1050000,0
PX,03/07/2017,9.37,9.37,9.15,9.2,1172400,853687
SCC,03/07/2017,148,148.8,147,147,496860,41385020
UPM,03/07/2017,0.0089,0.009,0.0089,0.009,11000000,90000
OPMB,03/07/2017,0.011,0.012,0.011,0.012,61000000,0
OV,03/07/2017,0.014,0.014,0.014,0.014,12500000,0
PERC,03/07/2017,4.22,4.22,4.22,4.22,1000,0
PXP,03/07/2017,3.3,3.3,3.14,3.14,3791000,-768740
TAPET,03/07/2017,2.97,2.97,2.95,2.95,20000,0
^PSEi,03/07/2017,7310.65,7326.07,7285.25,7294.52,8376470,170745
^ALLSHARES,03/07/2017,4414.1,4416.13,4394.51,4400.57,0,0
FMETF,03/07/2017,120.6,120.8,120.4,120.5,6940,4820
ACPB1,03/07/2017,535,535,535,535,20,0
ALCPB,03/07/2017,106,106,106,106,80000,0
DDPR,03/07/2017,105,106.7,105,106.5,19770,-1753050
GTPPB,03/07/2017,1031,1038,1031,1038,150,0
LRP,03/07/2017,1.03,1.03,1.03,1.03,1000,0
SMC2C,03/07/2017,82,82.2,82,82,39680,0
SMC2D,03/07/2017,76.75,76.75,76.75,76.75,4400,0
SMC2G,03/07/2017,79,79.5,79,79.5,63450,0
SMC2I,03/07/2017,79.5,79.55,79.5,79.55,500030,0
ABSP,03/07/2017,46.5,46.55,46,46,700800,-24645295
GMAP,03/07/2017,5.84,5.85,5.84,5.84,99000,-152100
LRW,03/07/2017,2.15,2.15,2.11,2.15,74000,0
DNA,03/07/2017,6.97,7.65,6.96,7.25,359300,439885
IDC,03/07/2017,3.5,4.09,3.5,4.05,1113000,-177400
