^FINANCIAL,12/12/2016,1711.7,1712.88,1665.86,1665.86,1036587,-167906
AUB,12/12/2016,47.6,47.8,47.6,47.75,4400,172000
BDO,12/12/2016,114.8,114.8,111.8,112,3728750,16624830
BPI,12/12/2016,91.4,91.8,87,87,2678190,-139151629
CHIB,12/12/2016,37.65,37.8,37.65,37.75,46200,0
EW,12/12/2016,19.18,19.22,18.84,18.84,46800,193976
MBT,12/12/2016,76.9,76.9,74.5,74.5,1334530,-51685158
PBB,12/12/2016,14.06,14.06,14.06,14.06,100,0
PBC,12/12/2016,21.3,21.3,21.3,21.3,5000,0
PNB,12/12/2016,54.6,55.05,54.4,54.4,77320,-1920203
PSB,12/12/2016,92.05,92.05,92.05,92.05,10,0
PTC,12/12/2016,119,120,119,120,100,0
RCB,12/12/2016,35.2,35.6,35.2,35.5,11000,-156420
SECB,12/12/2016,202,202,198.5,199.5,1013060,10502850
UBP,12/12/2016,74.6,74.6,73.55,74.5,91730,-800035
AGF,12/12/2016,3.38,3.38,3.37,3.37,2000,0
BKR,12/12/2016,1.5,1.55,1.44,1.53,683000,-9110
BLFI,12/12/2016,3.8,3.8,3.74,3.74,35000,0
COL,12/12/2016,16.4,16.48,16.4,16.48,1700,28007
I,12/12/2016,1.75,1.75,1.75,1.75,19000,0
MED,12/12/2016,0.67,0.67,0.64,0.66,7625000,-1361640
MFC,12/12/2016,770,800,770,800,1520,0
NRCP,12/12/2016,0.77,0.8,0.75,0.76,404000,0
PSE,12/12/2016,251.6,253,245,245,7280,-335020
SLF,12/12/2016,1735,1740,1735,1740,85,-8700
V,12/12/2016,1.32,1.32,1.32,1.32,49000,0
^INDUSTRIAL,12/12/2016,11081.16,11104.89,10862.83,10883.05,1361020,-122039
ACR,12/12/2016,1.31,1.45,1.28,1.37,3490000,-64190
AP,12/12/2016,44,44.4,43.4,43.7,496000,-335960
BSC,12/12/2016,0.198,0.199,0.198,0.199,30000,0
EDC,12/12/2016,5.45,5.46,5.34,5.39,13353600,43704531
FGEN,12/12/2016,22.2,22.8,22,22.2,1202300,-4881850
FPH,12/12/2016,67.95,68.05,67.9,68,165420,-1233923
MER,12/12/2016,265.4,270,259.8,260,274610,-11524750
MWC,12/12/2016,30.15,30.15,29.7,29.85,530300,8466135
PCOR,12/12/2016,10,10.4,9.94,10.3,10358000,-13878338
PHEN,12/12/2016,2.09,2.09,2.04,2.05,3791000,601750
PNX,12/12/2016,5.75,5.79,5.75,5.79,20000,-54426
SHLPH,12/12/2016,67.7,68.4,67.6,68.05,2846880,63045766
SPC,12/12/2016,4.55,4.6,4.41,4.41,17000,0
ANI,12/12/2016,4.39,4.39,4.24,4.29,218000,91250
BMM,12/12/2016,85.45,85.45,85.45,85.45,260,0
CAT,12/12/2016,22,22,19.5,21,5800,0
CNPF,12/12/2016,17.5,17.5,17.18,17.18,768400,12361018
DMPL,12/12/2016,12.68,12.68,12.6,12.6,6600,-40440
DNL,12/12/2016,11.4,11.4,11.12,11.14,4711200,-8080374
EMP,12/12/2016,7.2,7.25,7.19,7.21,639200,-1180626
FOOD,12/12/2016,0.92,0.92,0.89,0.91,1000000,0
GSMI,12/12/2016,12.14,12.6,12.12,12.6,8900,0
JFC,12/12/2016,217,217,210.8,211.4,542630,-15110848
LFM,12/12/2016,75.5,77,75.5,77,1430,0
MACAY,12/12/2016,25.05,26.95,25,26.95,1900,0
MAXS,12/12/2016,25.85,25.85,24.5,25,1053600,-15111155
MG,12/12/2016,0.25,0.255,0.25,0.25,120000,0
PF,12/12/2016,234,234,233,233,60,0
PIP,12/12/2016,3.3,3.3,3.16,3.25,3757000,-298140
RFM,12/12/2016,4.58,4.62,4.56,4.6,239000,0
ROX,12/12/2016,2.8,2.8,2.76,2.76,98000,0
SFI,12/12/2016,0.142,0.142,0.141,0.141,310000,0
URC,12/12/2016,170,170,161.5,163,2710270,-243298332
VITA,12/12/2016,1.64,1.69,1.64,1.66,1658000,13440
VMC,12/12/2016,4.6,4.6,4.6,4.6,5000,-23000
ABG,12/12/2016,22.95,22.95,20.05,21,21300,0
CA,12/12/2016,98,99,92,92,760,0
CAB,12/12/2016,95,95,95,95,110,0
CHP,12/12/2016,11.86,11.86,11.34,11.6,7618100,50662328
DAVIN,12/12/2016,7.35,7.35,7.18,7.25,80500,735
EEI,12/12/2016,6.24,6.25,6.12,6.24,327000,231196
HLCM,12/12/2016,16.9,16.9,16.54,16.74,629200,90380
MWIDE,12/12/2016,14.82,15.34,14.8,15,2085600,12353248
PHN,12/12/2016,11.3,11.3,11.3,11.3,400,0
T,12/12/2016,1.48,1.52,1.48,1.49,105000,0
CROWN,12/12/2016,1.97,1.97,1.92,1.92,77000,0
MVC,12/12/2016,3.5,3.9,3.5,3.9,6000,0
PPC,12/12/2016,5.1,5.13,5.05,5.13,437400,1136933
IMI,12/12/2016,6.06,6.1,6.04,6.06,222300,312966
ION,12/12/2016,1.72,1.75,1.7,1.7,259000,0
PSPC,12/12/2016,1.4,1.4,1.4,1.4,108000,5600
TECH,12/12/2016,23.4,23.4,23.4,23.4,204000,0
^HOLDING,12/12/2016,7113.67,7113.67,6909.73,6978.75,1026888,-232357
ABA,12/12/2016,0.53,0.54,0.5,0.51,44488000,0
AC,12/12/2016,733,734,706,706,293080,-59403500
AEV,12/12/2016,74,74.3,72.6,74,759290,-45388937
AGI,12/12/2016,13.26,13.26,12.72,12.88,2386500,-23008902
ANS,12/12/2016,5.95,5.95,5.95,5.95,8700,0
ATN,12/12/2016,0.305,0.305,0.305,0.305,970000,0
COSCO,12/12/2016,8.4,8.4,8.34,8.34,770600,3932742
DMC,12/12/2016,13.5,13.6,13.32,13.48,4773200,1413014
FDC,12/12/2016,8,8.05,7.9,7.91,53000,0
GTCAP,12/12/2016,1274,1274,1242,1260,100265,24937805
HI,12/12/2016,6,6,6,6,5500,0
JGS,12/12/2016,72,72.1,69,69,1894760,-47284700
LIHC,12/12/2016,1.33,1.38,1.31,1.33,2975000,0
LPZ,12/12/2016,7.7,7.8,7.62,7.8,1046700,-241807
LTG,12/12/2016,13.32,13.32,12.92,13,1987500,-4089646
MHC,12/12/2016,0.485,0.485,0.485,0.485,160000,0
MPI,12/12/2016,6.5,6.56,6.25,6.25,21191900,-41609057
PA,12/12/2016,0.038,0.038,0.038,0.038,20400000,0
POPI,12/12/2016,1.92,1.93,1.91,1.93,500000,0
PRIM,12/12/2016,1.26,1.26,1.26,1.26,7000,0
SGI,12/12/2016,1.18,1.18,1.18,1.18,90000,0
SM,12/12/2016,650,650,624.5,645,218790,-46805790
SMC,12/12/2016,94.9,95.1,91.95,94.9,408240,4692618
SOC,12/12/2016,0.83,0.9,0.83,0.9,34000,0
SPM,12/12/2016,2.3,2.3,2.3,2.3,3000,0
TFHI,12/12/2016,238.8,259.6,238.8,258.2,17710,498550
UNI,12/12/2016,0.3,0.3,0.3,0.3,210000,0
ZHI,12/12/2016,0.265,0.265,0.265,0.265,100000,0
^PROPERTY,12/12/2016,3190.87,3190.87,3090.02,3100.01,1772060,90932
ALCO,12/12/2016,0.42,0.43,0.405,0.41,17360000,40500
ALHI,12/12/2016,6.18,6.18,6.18,6.18,500,0
ALI,12/12/2016,34.8,34.8,32.95,33,19240400,-349674284
ARA,12/12/2016,2.13,2.13,2.13,2.13,46000,0
BEL,12/12/2016,3,3.05,2.96,2.96,725000,-410640
BRN,12/12/2016,1.14,1.15,1.11,1.13,649000,0
CDC,12/12/2016,1.34,1.45,1.32,1.35,1908000,-68670
CEI,12/12/2016,0.153,0.155,0.151,0.151,1590000,-12240
CHI,12/12/2016,4.96,5,4.9,4.96,153000,-736840
CPG,12/12/2016,0.58,0.6,0.57,0.58,29212000,-2283599
CYBR,12/12/2016,0.56,0.57,0.56,0.56,1750000,0
DD,12/12/2016,38.75,39,37.5,37.9,295800,-810655
ELI,12/12/2016,0.71,0.71,0.71,0.71,2000,0
FLI,12/12/2016,1.73,1.73,1.7,1.7,4138000,-2397260
GERI,12/12/2016,0.95,0.98,0.95,0.96,3352000,0
HOUSE,12/12/2016,6.99,7,6.89,7,42400,95878
IRC,12/12/2016,1.27,1.28,1.22,1.28,606000,0
LAND,12/12/2016,1.05,1.14,1.05,1.14,41000,0
MEG,12/12/2016,3.72,3.72,3.51,3.58,36368000,-61445210
MRC,12/12/2016,0.148,0.149,0.143,0.147,21920000,-8940
PHES,12/12/2016,0.255,0.255,0.255,0.255,370000,0
PRMX,12/12/2016,3.3,3.42,3.18,3.27,533000,-34100
RLC,12/12/2016,27.3,27.3,26.35,26.5,1264000,7809435
RLT,12/12/2016,0.4,0.41,0.4,0.41,270000,0
ROCK,12/12/2016,1.5,1.55,1.5,1.55,265000,94670
SHNG,12/12/2016,3.23,3.23,3.2,3.2,139000,0
SLI,12/12/2016,1.19,1.19,1.15,1.18,6700000,-344000
SMPH,12/12/2016,28.5,28.65,27.9,28.15,28847700,496487740
SUN,12/12/2016,0.91,0.92,0.91,0.92,46000,0
TFC,12/12/2016,31.05,31.05,31.05,31.05,800,0
VLL,12/12/2016,5.1,5.15,5.01,5.15,3465500,4630999
^SERVICE,12/12/2016,1315.44,1315.44,1277.57,1277.57,842152,64277
ABS,12/12/2016,44.4,44.9,44.4,44.5,11300,0
GMA7,12/12/2016,6.16,6.18,6.15,6.16,48500,0
MBC,12/12/2016,20,20,18.1,18.2,3000,0
GLO,12/12/2016,1445,1445,1403,1403,89840,-4939090
TEL,12/12/2016,1370,1370,1310,1314,206120,103650205
APL,12/12/2016,0.047,0.058,0.046,0.05,1725700000,-1219700
DFNN,12/12/2016,7.02,7.03,7,7,224200,730100
IMP,12/12/2016,14.76,15.3,14.76,14.84,26600,0
IMPB,12/12/2016,120,120,120,120,60,0
IS,12/12/2016,0.206,0.207,0.191,0.192,41810000,196600
ISM,12/12/2016,1.34,1.34,1.33,1.33,364000,0
JAS,12/12/2016,3.27,3.27,3.26,3.26,10000,0
NOW,12/12/2016,2.45,2.72,2.45,2.63,6090000,-530060
WEB,12/12/2016,13.6,13.6,12.76,13,1106400,341020
2GO,12/12/2016,7.65,7.65,7.62,7.65,3000,0
CEB,12/12/2016,93.35,95,89.7,90.2,527290,-15399778
ICT,12/12/2016,74.8,74.8,71.55,72,1012430,-15297533
LBC,12/12/2016,13.2,13.4,13.2,13.4,2000,0
MAC,12/12/2016,2.3,2.48,2.3,2.42,401000,0
PAL,12/12/2016,5.29,5.29,5.29,5.29,2100,9522
TUGS,12/12/2016,2.05,2.12,2.05,2.05,5547000,41400
ACE,12/12/2016,1.4,1.43,1.34,1.42,76000,0
BHI,12/12/2016,0.071,0.076,0.07,0.074,102070000,38350
DWC,12/12/2016,2.59,2.59,2.58,2.58,9000,0
GPH,12/12/2016,17.22,17.22,17.22,17.22,200,0
WPI,12/12/2016,0.335,0.335,0.335,0.335,10000,0
CEU,12/12/2016,9.92,9.92,9.59,9.6,4900,0
STI,12/12/2016,0.97,0.98,0.95,0.97,4514000,2482330
BCOR,12/12/2016,5.31,5.34,5.01,5.34,19200,0
BLOOM,12/12/2016,6.25,6.25,6.04,6.08,8450500,-8296948
EG,12/12/2016,0.0095,0.0095,0.0095,0.0095,2000000,0
LOTO,12/12/2016,11.3,11.3,11.2,11.2,200,0
LR,12/12/2016,5.13,5.16,5.02,5.06,702500,1399849
MCP,12/12/2016,4.07,4.07,3.86,3.94,7048000,746870
PLC,12/12/2016,1.19,1.2,1.17,1.18,12307000,838980
RWM,12/12/2016,3.6,3.67,3.32,3.4,2089000,-183130
CAL,12/12/2016,2.74,2.75,2.65,2.65,7281000,287470
MRSGI,12/12/2016,3.65,3.66,3.63,3.63,869000,-1192450
PGOLD,12/12/2016,39.9,39.9,39,39.7,154700,1843830
RRHI,12/12/2016,73.9,73.9,72.5,72.5,142650,-1177687
SEVN,12/12/2016,136,136,136,136,27600,0
