^FINANCIAL,12/19/2016,1675.86,1675.86,1616.36,1620.74,1042662,-339768
AUB,12/19/2016,47.95,47.95,47.7,47.7,2800,0
BDO,12/19/2016,111,111.3,107,108,3466090,-58350125
BPI,12/19/2016,90.2,90.2,85.9,85.9,1669320,-86393267
CHIB,12/19/2016,38,38.05,37.7,37.9,133600,0
EW,12/19/2016,18.9,19,18.8,18.8,186800,861425
MBT,12/19/2016,74,74,70.05,70.05,4873610,-160984503
PBB,12/19/2016,14.04,14.04,14.04,14.04,6900,0
PNB,12/19/2016,54.55,55.7,54.55,55,770,-545
PSB,12/19/2016,90.5,90.5,90,90,990,0
PTC,12/19/2016,120,128.5,120,128.5,170,0
RCB,12/19/2016,35.05,35.05,34.95,34.95,77800,-1543350
SECB,12/19/2016,199,199.5,193.1,194.5,308090,-31449224
UBP,12/19/2016,75,75,74.45,74.6,13810,738916
AGF,12/19/2016,3.7,3.8,3.7,3.7,67000,0
BKR,12/19/2016,1.57,1.58,1.39,1.56,267000,0
BLFI,12/19/2016,3.75,3.75,3.75,3.75,24000,0
COL,12/19/2016,16.48,16.48,16.38,16.38,1000,-9840
MED,12/19/2016,0.62,0.62,0.6,0.6,4415000,-1029090
MFC,12/19/2016,810,810,810,810,10,-8100
NRCP,12/19/2016,0.76,0.78,0.76,0.78,50000,0
PSE,12/19/2016,253,253,240,240,6710,-1601266
SLF,12/19/2016,1686,1686,1686,1686,5,0
V,12/19/2016,1.27,1.27,1.25,1.25,30000,0
^INDUSTRIAL,12/19/2016,10753.25,10756.01,10556.18,10582.72,1524659,-120828
ACR,12/19/2016,1.3,1.3,1.22,1.24,2079000,-1616510
AP,12/19/2016,43,43,42.7,43,2153900,-52573055
BSC,12/19/2016,0.191,0.192,0.19,0.192,140000,0
EDC,12/19/2016,5.17,5.17,4.99,5,11883300,-35302517
FGEN,12/19/2016,22.45,22.6,22,22.4,496900,-813975
FPH,12/19/2016,69,69,67.9,67.9,326300,9101770
H2O,12/19/2016,3.38,3.61,3.38,3.61,8000,0
MER,12/19/2016,260,262,258.8,259.2,412330,569530
MWC,12/19/2016,29.95,29.95,29.5,29.6,1611900,-30522805
PCOR,12/19/2016,10.28,10.28,10.1,10.26,758000,-3076446
PHEN,12/19/2016,2.06,2.1,2.04,2.06,2592000,151010
PNX,12/19/2016,5.75,5.78,5.75,5.75,517400,0
SHLPH,12/19/2016,69.9,69.9,69,69.6,797570,30763750
SPC,12/19/2016,4.56,4.56,4.54,4.54,165000,45500
ANI,12/19/2016,4.27,4.3,4.17,4.27,608000,975200
CAT,12/19/2016,21.4,21.5,20.15,20.15,900,0
CNPF,12/19/2016,17,17,16.76,16.82,1322000,2565234
DMPL,12/19/2016,12.38,12.38,11.98,11.98,49700,0
DNL,12/19/2016,11.88,11.88,11.52,11.52,2371400,11864218
EMP,12/19/2016,7,7.15,6.99,7.15,620100,-635160
FOOD,12/19/2016,0.89,0.89,0.88,0.88,147000,0
JFC,12/19/2016,205,205.8,193.2,195,1259390,-159308106
LFM,12/19/2016,76.05,76.05,76.05,76.05,190,0
MAXS,12/19/2016,24.8,25,23.8,25,537300,-9256910
MG,12/19/2016,0.255,0.255,0.241,0.241,110000,0
PF,12/19/2016,229.6,230,228.6,230,3420,425556
PIP,12/19/2016,3.41,3.42,3.38,3.38,109000,145320
PIZZA,12/19/2016,12.24,12.24,11.88,11.98,7482500,4080402
RCI,12/19/2016,2.19,2.19,2.19,2.19,163000,0
RFM,12/19/2016,4.78,4.8,4.76,4.78,201000,420369
ROX,12/19/2016,2.73,2.73,2.72,2.72,5000,0
SFI,12/19/2016,0.141,0.143,0.141,0.141,520000,2859
URC,12/19/2016,159.5,160.1,157.1,157.1,1946560,-30019474
VITA,12/19/2016,1.53,1.54,1.45,1.46,2428000,-131470
VMC,12/19/2016,4.69,4.69,4.69,4.69,2000,0
ABG,12/19/2016,18.22,18.88,18.22,18.78,9200,0
CA,12/19/2016,92.5,92.5,90,90,300,0
CAB,12/19/2016,130,130,130,130,10,-1300
CHP,12/19/2016,11.8,11.8,11.4,11.4,2456000,18659120
DAVIN,12/19/2016,6.89,7.07,6.64,6.64,490400,0
EEI,12/19/2016,6.22,6.22,5.9,5.94,372400,-1366164
HLCM,12/19/2016,16.5,16.5,16,16,91200,1011382
MWIDE,12/19/2016,14.92,15.14,14.92,14.98,6766500,96480010
PHN,12/19/2016,11.32,11.32,11.32,11.32,18800,0
T,12/19/2016,1.5,1.5,1.48,1.48,69000,0
VUL,12/19/2016,1.1,1.1,1.1,1.1,25000,0
CROWN,12/19/2016,1.89,1.9,1.87,1.89,140000,-13090
LMG,12/19/2016,2.67,2.72,2.67,2.71,101000,0
PPC,12/19/2016,5.06,5.19,5,5.05,5364600,24575005
CIC,12/19/2016,58.5,58.5,58.5,58.5,40200,-232830
IMI,12/19/2016,6.09,6.09,6.04,6.05,467100,2216244
ION,12/19/2016,1.74,1.74,1.69,1.69,33000,0
PMPC,12/19/2016,5.03,5.08,5,5.07,281300,0
PSPC,12/19/2016,1.35,1.4,1.35,1.37,38000,-10860
TECH,12/19/2016,23.2,23.2,22.35,23.2,205500,0
^HOLDING,12/19/2016,6970.98,7006.93,6865.69,6905.67,1237139,-217664
ABA,12/19/2016,0.52,0.54,0.495,0.495,8666000,-255000
AC,12/19/2016,732,732,720.5,727.5,346220,13494260
AEV,12/19/2016,74,74,72.5,72.6,1294880,-41018579
AGI,12/19/2016,12.9,12.9,12.62,12.66,6656200,-9234516
ANS,12/19/2016,5.99,5.99,5.91,5.99,5800,0
ATN,12/19/2016,0.31,0.31,0.31,0.31,530000,0
COSCO,12/19/2016,8.81,8.81,8.49,8.53,553400,1366054
DMC,12/19/2016,12.94,13.4,12.9,13.2,8707400,-2564538
FDC,12/19/2016,8.12,8.12,7.9,7.9,84100,0
FJP,12/19/2016,5.5,5.74,5.5,5.74,1200,0
FPI,12/19/2016,0.182,0.182,0.182,0.182,10000,0
GTCAP,12/19/2016,1210,1219,1189,1195,106720,-29751350
HI,12/19/2016,6.1,6.1,6.1,6.1,800,0
JGS,12/19/2016,69.25,69.25,67.05,68,2165810,-64258923
LIHC,12/19/2016,1.37,1.39,1.3,1.32,4678000,28980
LPZ,12/19/2016,7.68,7.79,7.55,7.79,2991300,-7566848
LTG,12/19/2016,13.1,13.1,12.74,13,3750800,26828862
MPI,12/19/2016,6.32,6.4,6.1,6.13,24198900,-40473413
PA,12/19/2016,0.037,0.038,0.037,0.038,16400000,0
POPI,12/19/2016,1.91,1.91,1.91,1.91,1000,0
SGI,12/19/2016,1.19,1.19,1.19,1.19,2000,0
SM,12/19/2016,635.5,650,630,637,203530,-66347590
SMC,12/19/2016,99.7,99.7,95,95,200180,2091024
TFHI,12/19/2016,258.8,261.8,258.8,259,21060,-2588
UNI,12/19/2016,0.285,0.305,0.285,0.305,1620000,0
WIN,12/19/2016,0.195,0.195,0.195,0.195,10000,0
ZHI,12/19/2016,0.255,0.255,0.255,0.255,1040000,0
^PROPERTY,12/19/2016,3072.91,3078.55,2969.83,2980.97,989464,-84470
ALCO,12/19/2016,0.47,0.495,0.46,0.475,13180000,0
ALHI,12/19/2016,6.12,6.99,6.1,6.99,30100,0
ALI,12/19/2016,31.8,32,30.8,31.2,11127500,-65294240
ARA,12/19/2016,2.1,2.12,2.1,2.1,641000,-640500
